Id do usuario;Score médio das perguntas;Score médio das respostas;Reputação 
719;0,00;4,33;801
14873;12,40;1,48;6382
5196;3,75;0,50;345
15755;0,00;3,52;3313
17934;0,75;5,75;143
3005;7,38;1,67;1015
16685;12,55;2,88;1940
17885;0,63;0,00;41
1453;2,50;2,72;2617
4723;5,84;1,27;3541
14008;142,00;0,00;2841
3334;11,50;1,16;847
10814;5,51;13,81;5842
390;15,00;2,68;4278
17415;0,75;0,38;324
5044;0,00;0,50;11
15366;1,86;2,27;2358
6713;1,99;1,30;6991
11959;1,28;1,22;678
3920;5,00;24,95;6895
7927;3,04;0,73;3589
5146;1,71;2,88;369
1217;0,63;2,19;170
9390;0,50;0,00;11
9805;0,75;0,63;3401
10722;3,83;3,76;3092
16363;3,03;1,77;96238
4827;2,97;0,75;169
4678;23,72;2,50;7126
189;55,38;0,91;13810
11107;1,59;2,50;197
15778;2,04;1,94;3356
6461;2,75;1,56;96303
4046;0,00;6,22;335
8311;17,50;1,23;1073
4780;0,00;2,80;390
6703;4,81;3,63;6879
4904;3,00;6,25;388
5739;1,08;0,73;787
18434;1,12;7,23;3695
2154;1,50;0,50;62
2049;0,99;1,38;727
1808;0,00;1,72;196
10012;1,00;17,62;2024
10724;0,00;2,36;435
1599;3,86;1,07;7978
6473;3,50;0,22;1857
13303;0,00;0,25;673
6284;0,00;7,25;256
3296;0,00;193,00;389
14659;15,50;0,00;313
16102;0,00;1,95;104295
1793;5,29;3,21;6870
6166;0,00;4,65;580
11442;3,50;1,87;2353
2206;1,50;0,50;43
7671;6,79;3,19;62298
7148;2,53;3,00;1119
1597;13,47;2,51;13076
16471;0,00;4,00;89
697;1,24;4,70;2792
12492;0,00;9,16;524
7659;0,48;1,00;786
10831;39,50;47,71;2669
15861;0,71;0,49;94625
13380;3,25;1,87;1152
14278;7,02;1,25;649
11457;1,25;5,81;4512
2344;7,56;2,54;726
688;14,03;5,14;13554
7559;3,00;0,00;83
1105;4,71;0,82;1784
11508;4,13;1,13;224
2517;1,30;1,76;10543
15059;1,26;0,00;409
17986;7,00;4,38;358
5413;33,50;0,75;869
14796;1,84;3,50;521
3286;0,00;4,38;347
6109;2,25;2,24;2255
10522;2,78;4,12;10612
646;3,65;19,12;2154
2237;3,00;0,00;63
5378;0,75;0,00;35
14727;4,00;9,50;281
16459;0,00;0,50;29
950;0,00;0,06;2329
14822;0,00;0,00;9
15953;0,00;1,50;31
4449;8,69;0,27;1261
5007;1,34;2,66;6941
2289;8,16;46,14;4560
13188;0,50;1,67;10916
2549;0,00;1,00;21
1895;3,69;1,56;622
10584;0,00;1,00;11
16602;2,00;0,00;43
3244;2,82;0,28;24442
12802;1,41;1,23;3675
13780;0,00;2,31;3805
2077;9,74;0,39;27334
10839;0,50;4,30;4293
14787;4,47;5,00;527
15189;4,00;0,00;81
17512;0,64;2,00;137
12051;1,00;1,05;179
6161;6,25;0,46;22634
7408;0,00;3,00;231
18517;0,00;4,50;91
1455;2,05;3,13;8001
18659;5,50;2,19;1040
2089;1,03;2,96;2619
13322;6,75;3,66;15404
7274;0,00;2,79;367
7913;2,37;1,87;21157
11082;6,09;2,00;385
4534;1,89;2,09;7383
15235;8,13;1,05;573
18779;4,46;1,10;981
17403;1,50;7,63;362
2756;0,59;1,06;1289
7321;0,00;0,50;11
7675;3,03;1,55;12918
15578;0,00;1,66;4324
14855;0,00;0,00;3
12591;2,08;2,54;2288
4568;1,39;0,25;873
5917;2,32;2,31;3136
5106;1,40;1,96;3908
15915;0,59;2,91;1744
2420;5,73;4,44;4424
4490;5,18;1,86;32960
9551;0,00;6,00;129
6851;3,78;1,28;3085
14054;12,00;2,82;9820
16127;0,63;0,00;29
2928;2,43;10,09;22683
391;59,00;1,50;2463
14783;4,11;3,48;8347
11164;0,00;1,81;129
9154;1,00;0,00;91
409;1,29;2,97;18394
2724;0,50;2,25;522
11367;6,75;0,50;225
1282;4,50;2,40;2140
9871;5,61;5,52;2592
9066;1,88;0,66;478
17498;2,80;6,99;14301
9591;3,38;1,44;235
18863;2,50;-2,00;45
5815;1,72;0,00;209
9823;1,00;0,54;6641
598;19,71;16,20;52273
15456;6,84;3,65;6683
15157;1,83;7,11;467
2172;1,86;1,39;63207
1436;10,44;4,35;8144
18769;2,69;0,38;139
2095;2,64;7,90;12405
9549;3,75;3,00;163
1879;4,02;1,50;34636
2916;3,34;1,84;652
5757;0,00;4,05;8375
6366;7,83;7,38;22195
7507;2,16;4,73;9419
17650;10,56;0,20;1521
4385;0,00;4,00;89
17734;3,44;0,97;1096
2933;5,16;12,10;1419
11397;3,17;0,14;32512
11193;5,16;2,03;23820
17676;0,00;2,00;71
10825;7,50;3,00;1141
17184;0,00;1,00;460
4958;10,01;17,32;34247
2760;0,00;8,75;355
11292;42,50;3,59;1198
18645;3,38;2,02;5333
9872;0,50;4,50;308
838;3,76;7,88;11491
1923;24,70;6,13;2579
2274;2,06;3,85;10824
9641;1,59;1,93;6485
12089;5,15;27,53;53518
11051;3,17;0,80;6839
13036;1,61;2,30;1413
16112;0,00;2,62;408
9269;4,06;3,99;10038
2797;2,59;4,24;15043
2148;3,11;2,09;9810
10686;1,19;3,11;528
12333;19,38;6,75;1541
10409;0,00;1,48;825
16912;0,00;3,09;111
3748;0,00;8,43;2170
3067;0,50;0,72;993
8678;0,56;0,42;5295
3063;6,73;3,35;2843
897;1,25;2,95;798
6236;2,95;1,61;30821
14664;1,71;1,56;1389
14360;3,75;-1,00;111
7714;6,19;2,19;122089
10309;4,63;2,34;714
46;7,95;19,72;16723
13716;0,00;2,72;2216
13119;3,50;3,50;191
10826;38,00;1,29;1013
655;3,55;0,26;4880
349;13,33;1,84;1771
12651;1,97;9,07;1574
8134;3,00;49,88;1773
5343;6,17;1,38;14209
4826;0,00;1,00;639
1023;1,09;0,50;135
6223;1,50;1,32;240
8825;8,44;36,94;18708
9581;3,00;4,67;1135
3717;4,63;14,75;2835
6727;2,31;2,90;453
454;1,41;2,06;497
6301;6,50;0,00;131
7116;2,88;12,59;58087
4581;0,00;8,25;186
18259;0,00;2,25;203
15453;2,63;9,22;466
16783;2,50;0,94;133
13440;9,71;1,34;4724
9149;3,50;2,06;153
6539;3,25;1,79;605
1804;0,00;1,74;2181
12981;2,79;5,23;4617
13910;2,25;2,00;118
4213;3,66;1,47;12549
4206;1,83;2,72;4309
1117;8,86;4,06;17861
14577;0,00;14,44;2144
14611;13,44;0,50;1785
4642;6,23;30,14;71303
6465;2,00;2,56;402
8146;3,25;7,31;939
2973;1,40;12,52;17395
12828;4,79;2,59;3860
18344;0,50;4,50;111
17083;12,50;0,00;369
534;29,88;4,30;3243
9304;3,77;3,23;4029
5965;2,32;0,70;1090
884;1,00;23,17;9225
11723;1,50;0,00;49
15928;2,91;5,48;6583
15954;0,00;6,00;181
6009;3,56;13,72;3702
4747;0,53;4,29;4890
9786;0,00;1,17;113
15165;0,00;0,66;1707
6751;15,00;0,00;530
8375;0,00;5,19;126
3702;8,50;13,68;3268
17785;3,16;0,66;8447
7691;0,00;6,25;455
12030;5,38;5,95;97953
4187;1,00;7,19;397
8314;0,00;1,41;77
3673;3,48;1,37;8858
17992;0,00;16,00;91
9511;9,00;0,00;181
10224;3,50;0,52;5965
1494;2,00;2,51;627
17256;0,00;1,00;29
2346;2,00;2,22;235
10007;1,18;709,00;14985
6930;2,00;7,00;196
6061;3,50;1,65;6461
13370;0,74;1,77;30082
5239;0,79;-0,86;165
5642;3,42;4,56;2990
13240;7,48;0,00;2125
4981;0,00;9,75;201
10359;0,00;4,25;226
12571;0,00;1,00;99
18031;0,50;406,50;8172
4910;3,31;0,29;6926
18877;3,93;0,14;1175
12838;0,00;4,17;5848
1163;1,38;1,43;1525
13484;3,64;79,75;3965
18405;2,58;1,86;6359
