repository,vulnerabilities,duplicated_lines,duplicated_blocks,reliability_rating,code_smells,bugs,testsjwd-ali_SBAActionSheetPicker.git,0,0,0,1.0,0,0,0.0
polm_dupdupdraw.git,0,954,2,3.0,19,5,0.0
polm_locust.git,0,0,0,3.0,102,24,0.0
polm_gutenjuice.git,0,0,0,1.0,0,0,0.0
polm_rn.git,0,0,0,1.0,0,0,0.0
polm_quickjdict.git,0,0,0,3.0,21,3,0.0
polm_boundless.git,0,5338,34,3.0,165,7,0.0
polm_palladian-facades.git,0,0,0,3.0,0,3,0.0
polm_bontan.git,0,0,0,3.0,15,3,0.0
polm_searchy.git,0,0,0,1.0,10,0,0.0
polm_node-migemo.git,0,0,0,3.0,12,3,0.0
polm_dotfiles.old.git,0,0,0,1.0,0,0,0.0
polm_bitdissolver.git,0,0,0,1.0,0,0,0.0
polm_Emphasis.git,0,0,0,1.0,2,0,0.0
polm_philtre.git,0,17,2,3.0,19,1,0.0
polm_sketch-rnn.git,0,0,0,5.0,45,1,0.0
polm_node-charm.git,0,44,2,1.0,1,0,0.0
polm_npm.git,0,6278,383,4.0,493,9,0.0
polm_ichimatsu.git,0,0,0,3.0,0,3,0.0
polm_char-rnn.git,0,0,0,1.0,0,0,0.0
polm_gamefaces.git,0,0,0,1.0,0,0,0.0
polm_github-tasks.vim.git,0,0,0,1.0,0,0,0.0
polm_deltos-default-theme.git,0,0,0,3.0,20,5,0.0
polm_mimi-grep.git,0,0,0,1.0,0,0,0.0
polm_bigtext.git,0,0,0,1.0,1,0,0.0
polm_show-footnotes.git,0,0,0,1.0,0,0,0.0
polm_showmemore.git,0,0,0,3.0,14,1,0.0
polm_twitter.git,0,52,5,5.0,76,1,0.0
polm_pixelbox.git,0,21475,154,3.0,426,318,0.0
polm_lua-mecab.git,0,0,0,1.0,0,0,0.0
polm_isorogue.git,0,0,0,1.0,0,0,0.0
polm_jfmt.lua.git,0,0,0,1.0,0,0,0.0
polm_shesha.git,0,1725,9,3.0,364,12,0.0
polm_Articles.git,0,0,0,1.0,0,0,0.0
polm_bones.git,0,0,0,1.0,0,0,0.0
polm_spaCy.git,0,2142,136,5.0,893,7,0.0
polm_pinput.git,3,108,4,3.0,2,3,0.0
polm_mecab.git,0.0
polm_fuzzywuzzy.git,0,44,2,1.0,44,0,0.0
polm_lexcavator.git,0,0,0,1.0,1,0,0.0
polm_gensim.git,1,1616,75,5.0,432,19,0.0
polm_spacy-dev-resources.git,0,0,0,1.0,15,0,0.0
polm_mecab-packed.git,0,0,0,1.0,1,0,0.0
polm_awesome-gamedev-jp.git,0,0,0,1.0,0,0,0.0
polm_awesome-digital-collections.git,0,0,0,1.0,0,0,0.0
polm_ndl-crop.git,0,0,0,1.0,1,0,0.0
polm_fastText.git,0,6950,198,4.0,2257,1665,0.0
polm_UD_Japanese-GSD.git,0,0,0,1.0,0,0,0.0
polm_yon.git,0,0,0,1.0,0,0,0.0
polm_mecab-python3.git,0,0,0,1.0,11,0,0.0
polm_visidata.git,3,284,8,5.0,404,418,0.0
polm_jp-ner.git,0,0,0,1.0,1,0,0.0
polm_SudachiPy.git,0,134,7,5.0,43,3,0.0
polm_preshed.git,0,0,0,1.0,6,0,0.0
polm_srsly.git,0,32,2,1.0,76,0,0.0
polm_yuzulabo.works.git,0,0,0,4.0,37,30,0.0
polm_fugashi.git,0,0,0,1.0,3,0,0.0
polm_ja-tokenizer-benchmark.git,0,0,0,1.0,0,0,0.0
polm_posuto.git,0,0,0,1.0,2,0,0.0
polm_argh.git,0,0,0,1.0,40,0,0.0
polm_unidic-py.git,0,0,0,1.0,0,0,0.0
polm_mecab-manylinux1-wheel-builder.git,0,0,0,1.0,0,0,0.0
polm_unidic-lite.git,0,0,0,1.0,0,0,0.0
polm_cutlet.git,0,0,0,1.0,3,0,0.0
polm_kanji.git,0,0,0,1.0,0,0,0.0
polm_laserembeddings.git,0,0,0,1.0,8,0,0.0
polm_transformers.git,0,14241,795,3.0,944,24,0.0
polm_ginza.git,0,122,4,1.0,104,0,0.0
denistsoi_mapboxgl-spiderifier.git,0,146,4,3.0,1,4,0.0
denistsoi_mapbox-gl-js.git,8,20481,380,4.0,979,58,0.0
denistsoi_here-be-dragons.git,0,435,26,3.0,208,1,0.0
denistsoi_react-demos.git,0,38376,406,5.0,1644,363,0.0
denistsoi_express-crud.git,0,0,0,1.0,2,0,0.0
denistsoi_challenge.git,0,191,4,1.0,0,0,0.0
denistsoi_mater.git,0,0,0,3.0,0,1,0.0
denistsoi_devops-coding-challenge.git,0,0,0,1.0,0,0,0.0
denistsoi_kubernetes-challenge.git,0,0,0,3.0,0,1,0.0
denistsoi_devops-challenges.git,0,0,0,1.0,0,0,0.0
denistsoi_challenge01.git,0,0,0,1.0,0,0,0.0
denistsoi_devops-code-challenge.git,0,0,0,1.0,0,0,0.0
denistsoi_DevOps-Challenges-Cycle1.git,0,0,0,1.0,0,0,0.0
denistsoi_devops-coding-challenge-1.git,0,0,0,1.0,0,0,0.0
denistsoi_devops-challenge.git,0,0,0,1.0,0,0,0.0
denistsoi_devops-challenge-apps.git,0,0,0,1.0,1,0,0.0
denistsoi_kd.git,0,0,0,1.0,7,0,0.0
denistsoi_keto.git,2,163,6,1.0,24,0,0.0
denistsoi_room.js.git,0,1034,82,3.0,39,1,0.0
denistsoi_dt-docker.git,0,0,0,1.0,0,0,0.0
denistsoi_python-patterns.git,0,0,0,1.0,76,0,0.0
paul-spangfort_Halendr_Company_Client.git,0,3684,174,4.0,780,25,0.0
denistsoi_kubernetes-mongodb-shard.git,0,0,0,1.0,1,0,0.0
denistsoi_js-meter.git,0,0,0,1.0,3,0,0.0
denistsoi_node-slate.git,0,0,0,3.0,135,13,0.0
denistsoi_dt-mongo-utils.git,0,0,0,1.0,2,0,0.0
denistsoi_skygear-apitable.git,0,134,6,3.0,19,2,0.0
wiesson_eb-export.git,0,0,0,1.0,4,0,0.0
denistsoi_sendgrid-nodejs.git,0,3819,345,1.0,5,0,0.0
denistsoi_shrug-emoji.git,0,0,0,1.0,0,0,0.0
denistsoi_go-jokes.git,0,0,0,1.0,0,0,0.0
denistsoi_messaging-apis.git,0,4268,184,1.0,0,0,0.0
denistsoi_AlgoCasts.git,0,3958,85,3.0,14,12,0.0
denistsoi_scripts.git,0,0,0,1.0,0,0,0.0
denistsoi_cli-draw.git,0,292,7,1.0,13,0,0.0
denistsoi_game-of-life.git,0,0,0,1.0,0,0,0.0
denistsoi_transcription-service.git,0,0,0,3.0,14,2,0.0
denistsoi_recompose.git,0,143,6,3.0,69,19,0.0
denistsoi_rg.git,0,46,2,1.0,52,0,0.0
denistsoi_01-banking-app.git,0,0,0,3.0,46,1,0.0
denistsoi_kinto-cli.git,0,0,0,1.0,0,0,0.0
denistsoi_kinto-jokes.git,0,0,0,1.0,0,0,0.0
denistsoi_gatsby-starter-netlify-cms.git,0,0,0,1.0,4,0,0.0
denistsoi_social-media-safety-asylum-seekers.git,0,0,0,1.0,0,0,0.0
denistsoi_refoodie-api.git,0,0,0,1.0,3,0,0.0
denistsoi_refoodie-app.git,0,0,0,3.0,4,4,0.0
denistsoi_payment-icons.git,0,0,0,3.0,1,110,0.0
denistsoi_kintohub-docs.git,0,0,0,3.0,1,1,0.0
denistsoi_kinto-test.git,0,0,0,1.0,0,0,0.0
denistsoi_icame4dalolz.git,0,0,0,1.0,0,0,0.0
denistsoi_looper.git,0,12551,1330,3.0,463,7,0.0
denistsoi_fanatic.git,0,0,0,1.0,0,0,0.0
denistsoi_kinto-vue.git,13,0,0,1.0,0,0,0.0
denistsoi_chart-parts.git,0.0
denistsoi_notebooks.git,0,0,0,1.0,0,0,0.0
denistsoi_cathay-hackathon-2018.git,0,0,0,3.0,1,9,0.0
denistsoi_proton.git,0,164,2,3.0,53,105,0.0
denistsoi_vue-menu.git,9,0,0,3.0,1,1,0.0
denistsoi_vuesax.git,9,92524,380,5.0,433,180,0.0
denistsoi_wesleychang.git,0,0,0,1.0,0,0,0.0
denistsoi_vue-vimeo-player.git,0,0,0,1.0,0,0,0.0
Calebyang93_Necessiti-Web-App-.git,0,0,0,4.0,2,29,0.0
denistsoi_hubpress.io.git,0,3297,6,5.0,273,70,0.0
denistsoi_tables-hugo.git,0,0,0,5.0,16,12,0.0
denistsoi_tables-vuepress-example.git,0,0,0,3.0,0,1,0.0
denistsoi_tables-vuepress.git,0,0,0,3.0,0,1,0.0
denistsoi_cypress-recorder.git,2,0,0,3.0,3,5,0.0
denistsoi_JsonSurfer.git,0.0
denistsoi_react-native-paper.git,0,3230,849,1.0,22,0,0.0
denistsoi_yoga.git,0.0
denistsoi_react-native-datepicker.git,0.0
denistsoi_heroicons-ui.git,0,0,0,1.0,0,0,0.0
denistsoi_graphql-engine.git,0.0
denistsoi_vue-meta.git,0,635,37,3.0,31,8,0.0
denistsoi_hasura-graphql-hk-dec-2019.git,0,0,0,1.0,0,0,0.0
denistsoi_charts.git,0,0,0,4.0,16,1,0.0
denistsoi_selfdefined.git,0,0,0,1.0,0,0,0.0
denistsoi_sanity-nextjs-landing-pages.git,0,0,0,5.0,5,1,0.0
denistsoi_twitter-client-example.git,0,0,0,3.0,6,3,0.0
denistsoi_python_practitioner.git,0,0,0,1.0,0,0,0.0
denistsoi_python-code-for-hk.git,0,0,0,1.0,1,0,0.0
denistsoi_multiplayer-game-of-life.git,0,0,0,1.0,3,0,0.0
denistsoi_01_fyyur.git,0,262,8,3.0,21,24,0.0
denistsoi_udacity-reviews.git,0,0,0,1.0,0,0,0.0
denistsoi_storybookvueaddonstest.git,13,0,0,1.0,0,0,0.0
denistsoi_02_trivia_api.git,0,0,0,1.0,17,0,0.0
denistsoi_warsinhk.git,0,782,27,4.0,53,1,0.0
denistsoi_socialapp.git,0.0
denistsoi_03_coffee_shop.git,0,0,0,4.0,7,2,0.0
denistsoi_FSND-Deploy-Flask-App-to-Kubernetes-Using-EKS.git,0,0,0,1.0,2,0,0.0
denistsoi_udacity-capstone.git,0,0,0,1.0,12,0,0.0
denistsoi_vite-tailwind-starter.git,1,0,0,2.0,1,1,0.0
denistsoi_devops-intro-project.git,0,0,0,1.0,0,0,0.0
denistsoi_rnTranslatedBible.git,0,0,0,1.0,0,0,0.0
denistsoi_managers-playbook.git,0,0,0,1.0,0,0,0.0
denistsoi_building-small-blog.git,1,116,4,5.0,45,32,0.0
denistsoi_hasura-tutorial.git,0,0,0,1.0,0,0,0.0
denistsoi_react-native-gesture-detector.git,0,180,10,1.0,15,0,0.0
denistsoi_rn-formly.git,0,0,0,3.0,36,3,0.0
denistsoi_system.git,0,0,0,1.0,1,0,0.0
cagri90_ab2015-android-a.git,0.0
cagri90_DemoServer.git,0,0,0,1.0,0,0,0.0
cagri90_Interview.git,1,84,3,4.0,10,9,0.0
cagri90_apiinterview.git,0,0,0,1.0,0,0,0.0
