Nome/Dono;	URL;	Linguagem Primária;	Pull Requests Aceitas;	Releases;	Issues Fechadas;	Total de Issues;	Data de Criação;	Última Atualização;
microsoft/monaco-editor;	https://github.com/microsoft/monaco-editor;	JavaScript;	76;	0;	1426;	1785;	2016-06-07T16:56:31Z;	2020-05-11T01:23:42Z;
Reactive-Extensions/RxJS;	https://github.com/Reactive-Extensions/RxJS;	JavaScript;	520;	34;	643;	874;	2012-01-07T00:31:41Z;	2020-05-10T22:31:12Z;
reduxjs/react-redux;	https://github.com/reduxjs/react-redux;	JavaScript;	339;	90;	1018;	1041;	2015-07-11T17:32:01Z;	2020-05-11T01:56:38Z;
eggjs/egg;	https://github.com/eggjs/egg;	JavaScript;	919;	72;	3103;	3233;	2016-06-18T06:53:23Z;	2020-05-11T01:57:48Z;
mysqljs/mysql;	https://github.com/mysqljs/mysql;	JavaScript;	108;	0;	1838;	1962;	2010-07-29T14:58:13Z;	2020-05-11T01:29:07Z;
iptv-org/iptv;	https://github.com/iptv-org/iptv;	JavaScript;	1004;	0;	217;	270;	2018-11-14T22:00:57Z;	2020-05-11T01:31:25Z;
statsd/statsd;	https://github.com/statsd/statsd;	JavaScript;	295;	0;	217;	257;	2010-12-30T00:09:50Z;	2020-05-10T21:59:38Z;
chaozh/awesome-blockchain-cn;	https://github.com/chaozh/awesome-blockchain-cn;	JavaScript;	7;	0;	18;	25;	2017-03-12T06:02:46Z;	2020-05-10T07:53:12Z;
hapijs/joi;	https://github.com/hapijs/joi;	JavaScript;	356;	0;	1798;	1820;	2012-09-16T16:38:06Z;	2020-05-10T13:52:59Z;
angular-ui/bootstrap;	https://github.com/angular-ui/bootstrap;	JavaScript;	69;	5;	4185;	4455;	2012-10-05T18:27:01Z;	2020-05-10T12:37:06Z;
quasarframework/quasar;	https://github.com/quasarframework/quasar;	JavaScript;	2062;	288;	4179;	4363;	2015-10-05T15:45:36Z;	2020-05-10T23:57:35Z;
acdlite/recompose;	https://github.com/acdlite/recompose;	JavaScript;	246;	42;	373;	427;	2015-10-07T05:54:51Z;	2020-05-10T10:51:39Z;
jsdom/jsdom;	https://github.com/jsdom/jsdom;	JavaScript;	676;	19;	1492;	1781;	2010-01-19T06:55:19Z;	2020-05-11T01:27:08Z;
