login do usuario avaliado;Quantidade de reações nas issues;Popularidade do repositório;Média de watchers
liaojinxing;33.88;3.50;0
codrops;0;0;0
12207480;2.48;1.01;0
vczero;84.48;6.85;0
fengyongge;4.77;1.12;0
ilich;7.14;1.97;0
daattali;70.45;5.29;0
isaacmg;4.67;1.63;0
matricks;53.38;6.38;0
krta2;19.43;0.29;0
project-open-data;0;0;0
florianv;44.10;2.17;0
mxck;8.24;0.91;0
sebgoa;9.67;2.20;0
weavejester;73.75;4.13;0
nick6918;15.79;2.32;0
gitcoinco;0;0;0
saiwu-bigkoo;927.18;27.68;0
cesards;29.81;2.05;0
stefanjudis;12.95;1.61;0
mandango;0;0;0
cuappdev;0;0;0
sarthology;46.37;2.71;0
acidanthera;0;0;0
sstur;40.09;2.22;0
streamich;143.85;1.52;0
TrickyGo;458.20;18.40;0
0ohop;118.85;6.50;0
laktek;38.40;2.97;0
ml-tooling;0;0;0
u014427391;81.39;8.91;0
DataDog;0;0;0
pavanjadhaw;61.10;2.48;0
bootandy;26.13;1.40;0
littleark;30.65;2.52;0
aimacode;0;0;0
ftlabs;0;0;0
jvoisin;501.08;30.18;0
hackappcom;148.17;22.92;0
krzyzanowskim;139.28;4.80;0
jenkinsci;0;0;0
jackaudio;0;0;0
infection;0;0;0
HamzaGhazouani;809.80;14.40;0
thoughtbot;0;0;0
thunil;266.92;24.17;0
stefanbuck;0.41;0.23;0
jorgebucaran;723.95;23.43;0
astrada;166.54;8.08;0
TheCherno;167.37;25.41;0
sorintlab;0;0;0
0xInfection;728.33;52.89;0
RodneyShag;85.27;10.31;0
gregoryyoung;125.72;11.80;0
welaika;0;0;0
twitter-forks;0;0;0
felixge;24.09;2.50;0
maichong;0;0;0
resque;0;0;0
itgoyo;4.36;0.35;0
groundworkcss;0;0;0
smcllns;336.20;13.80;0
googlearchive;0;0;0
seb-m;125.29;8.35;0
wuyouzhuguli;1653.71;78.50;0
jondot;69.48;1.95;0
reviewdog;0;0;0
estools;0;0;0
vmware;0;0;0
MZCretin;124.13;4.54;0
snyk;0;0;0
x0rz;1526.67;129.83;0
google;0;0;0
douban;0;0;0
mridgers;2586.00;135.00;0
diegohaz;204.87;9.70;0
fb55;87.14;3.18;0
PowerShell;0;0;0
ahmadawais;20.36;0.90;0
thedjpetersen;110.19;6.50;0
Marxon13;663.50;22.17;0
joefitzgerald;102.44;6.85;0
yangfeicheung;35.28;1.56;0
webRTC-io;0;0;0
houkx;44.80;5.54;0
rapidoid;0;0;0
andreafrancia;18.21;2.38;0
MikeMcQuaid;195.84;16.14;0
rust-lang;0;0;0
huangwei9527;73.76;4.33;0
google;0;0;0
robotframework;0;0;0
polarmobile;0;0;0
moby;0;0;0
kitetail;0;0;0
kaonashi-tyc;207.09;9.55;0
indragiek;121.04;4.90;0
google;0;0;0
imba;0;0;0
Zulko;311.15;11.71;0
AAChartModel;103.18;2.86;0
realpython;0;0;0
FiloSottile;1439.89;40.56;0
guojunyi;41.36;3.09;0
JustinFincher;16.20;1.56;0
soumith;246.86;12.68;0
adamhalasz;16.69;1.50;0
yagamis;12.76;2.17;0
philsturgeon;279.20;22.45;0
pilagod;9.55;1.79;0
DominicMaas;52.00;8.29;0
ares333;69.17;9.17;0
spatie;0;0;0
mjholtzem;54.86;5.00;0
oncletom;1.89;1.30;0
alleyinteractive;0;0;0
apachecn;0;0;0
hexojs;0;0;0
PyPSA;0;0;0
toadstorm;82.80;16.00;0
disclose;0;0;0
jaegertracing;0;0;0
paveisistemas;0;0;0
SaneMethod;40.60;3.30;0
jedwards1211;0.21;0.28;0
japacible;7.75;2.43;0
m3u8-segmenter;0;0;0
karmazzin;15.20;3.04;0
wmchris;20.90;3.71;0
byuu;314.33;22.00;0
pushshift;17.09;2.49;0
AlanCheen;23.69;1.95;0
casperstorm;16.13;0.96;0
gosu;0;0;0
naver;0;0;0
straightdave;16.22;2.29;0
aspnet;0;0;0
shuding;17.69;1.87;0
SmokeMonsterPacks;256.33;49.33;0
chenshuo;281.44;30.67;0
admintony;22.70;0.57;0
leny;0.30;0.99;0
react-component;0;0;0
jmenter;20.52;1.93;0
mennovanslooten;32.22;2.50;0
kbsali;8.43;1.96;0
mageplus;0;0;0
tuner24;127.33;9.33;0
arkon;129.39;7.79;0
nacos-group;0;0;0
SanderMertens;22.33;2.06;0
moonlight-stream;0;0;0
its-awesome;0;0;0
kyaroru;15.14;1.31;0
zh-plus;21.26;1.00;0
LineageOS;0;0;0
embear;37.23;2.69;0
evermeer;163.35;7.70;0
MrSaints;45.66;3.64;0
Dexaran;0.57;0.29;0
kentonl;1362.33;58.00;0
Tessil;110.13;9.06;0
oktayayr;190.00;7.50;0
FullstackStation;0;0;0
f2e-journey;0;0;0
xdite;16.35;3.08;0
cyberark;0;0;0
rfk;43.15;3.88;0
gimite;156.32;7.97;0
will-stone;74.58;2.96;0
patrickfav;58.61;2.73;0
pelotom;34.97;1.94;0
bsdphk;65.24;13.32;0
MichaelCereda;11.07;1.28;0
outmoded;0;0;0
darklow;43.16;3.52;0
puppetlabs;0;0;0
Cr4sh;111.26;12.56;0
danfairs;10.27;1.65;0
adoy;45.68;4.89;0
ilai-deutel;24.95;0.90;0
osteele;2.85;2.67;0
sindresorhus;189.87;3.63;0
ryandrewjohnson;22.85;2.37;0
marijnz;61.45;5.70;0
in28minutes;115.50;20.65;0
pabloariasal;26.73;1.00;0
achembarpu;21.83;1.11;0
g0v;0;0;0
tendenci;0;0;0
feathersjs-ecosystem;0;0;0
EyreFree;107.43;3.75;0
jckarter;35.60;4.71;0
yelouafi;476.09;8.87;0
rcmalli;121.91;7.64;0
sebarmeli;91.08;8.50;0
Unity-Technologies;0;0;0
SubjectNerd-Unity;0;0;0
dlxg;24.89;2.56;0
roncioso;33.33;2.25;0
chenchengyin;82.15;3.70;0
giving-a-fuck-about-climate-change;0;0;0
andyiac;6.88;1.43;0
tombenner;104.36;6.09;0
happypoulp;200.47;6.79;0
shidenggui;145.70;19.33;0
Jawbone;0;0;0
Jack-Lee-Hiter;204.69;9.08;0
causefx;169.94;8.06;0
jiangmiao;170.74;6.21;0
rasbt;701.82;50.21;0
awesome-tips;0;0;0
smpallen99;31.70;2.10;0
pravega;0;0;0
mkaz;101.36;3.27;0
bradfrost;174.84;12.72;0
moses-smt;0;0;0
erlang;0;0;0
ElevenPaths;0;0;0
orangeduck;685.35;36.00;0
ralfbiedert;72.59;3.53;0
QueueClassic;0;0;0
tuist;0;0;0
google;0;0;0
reworkcss;0;0;0
lopspower;345.89;13.84;0
Shopify;0;0;0
btholt;82.81;2.96;0
tylertreat;139.63;8.38;0
Flexget;0;0;0
ember-animation;0;0;0
sindresorhus;189.87;3.63;0
facebookincubator;0;0;0
traccar;0;0;0
hzlzh;308.37;24.11;0
aholachek;124.47;2.58;0
mint-lang;0;0;0
johnpolacek;135.33;8.95;0
serverless;0;0;0
kornia;0;0;0
analogcode;196.36;14.09;0
collectd;0;0;0
root-two;0;0;0
dancryer;246.80;16.40;0
unconed;277.03;15.47;0
spulec;101.24;3.06;0
snabbco;0;0;0
aylei;26.09;0.93;0
rowanmanning;33.39;21.90;0
PhilippC;159.42;9.50;0
questbeat;110.13;5.11;0
intelsdi-x;0;0;0
ender-js;0;0;0
watson;12.93;1.47;0
christinecha;29.85;1.95;0
ruby-prof;0;0;0
sofastack;0;0;0
rails;0;0;0
yogthos;9.66;1.84;0
unshiftio;0;0;0
BloodAxe;147.86;7.33;0
danielmagnussons;75.30;4.80;0
pytest-dev;0;0;0
ryancramerdesign;18.07;4.10;0
RxSwiftCommunity;0;0;0
csswizardry;774.88;36.71;0
AndreaCrotti;1.26;1.08;0
dejan;164.26;5.03;0
alastairtree;54.38;3.90;0
bcoe;10.28;3.39;0
sghiassy;9.95;1.39;0
pinax;0;0;0
xadrianzetx;47.63;1.38;0
mumuy;252.65;12.87;0
deuill;31.59;2.97;0
thomasnordquist;9.01;1.58;0
iammert;139.69;6.09;0
m242;94.50;11.13;0
liuyanggithub;31.83;2.75;0
mitsuba-renderer;0;0;0
charliegerard;24.49;2.26;0
stefanprodan;75.65;5.44;0
sendgrid;0;0;0
Leaking;47.74;2.82;0
pyupio;0;0;0
tducret;33.25;4.54;0
js-cli;0;0;0
inferred;0;0;0
reason-react-native;0;0;0
iamcco;33.26;1.92;0
oeway;11.54;1.59;0
owenliang;22.09;2.00;0
iovxw;8.45;1.18;0
GNOME;0;0;0
syndbg;7.79;1.16;0
cbednarski;29.61;1.82;0
payara;0;0;0
adriancooney;30.37;1.04;0
AdamLaurie;53.66;10.07;0
nferraz;72.00;5.56;0
ResultadosDigitais;0;0;0
mixu;85.23;4.51;0
GabrielAlva;887.67;36.00;0
yoksel;29.89;2.71;0
teamserverless;0;0;0
bublejs;0;0;0
dli;689.14;27.57;0
gokulkrishh;7.31;1.49;0
Bridgewater;0;0;0
tikalk;0;0;0
RanadeepPolavarapu;7.43;0.83;0
hemerajs;0;0;0
florent37;282.29;8.20;0
AlgoryL;741.00;30.00;0
otya128;18.52;2.17;0
google;0;0;0
bootstrap-tagsinput;0;0;0
deivid-rodriguez;0.12;0.88;0
recruit-lifestyle;0;0;0
ayeowch;145.25;16.75;0
andirueckel;404.00;5.00;0
thepowersgang;50.71;5.26;0
KiCad;0;0;0
mkocabas;127.15;7.60;0
Thunberg087;40.50;1.40;0
matrixcascade;42.60;3.67;0
howsecureismypassword;0;0;0
entria;0;0;0
rxlabz;27.73;2.16;0
jncraton;4.62;1.07;0
SeuTao;38.30;1.98;0
TangBean;51.29;2.71;0
mymarilyn;0;0;0
github;0;0;0
AlexeySemigradsky;48.44;5.22;0
wq2012;68.19;7.59;0
JuulLabs-OSS;0;0;0
mtkopone;17.49;1.94;0
tmr232;11.71;2.36;0
onmyway133;129.67;4.38;0
davidchambers;5.53;2.65;0
danvick;29.88;1.94;0
uber-go;0;0;0
dsacademybr;128.20;30.90;0
abhishekkr;9.33;1.72;0
paulirish;925.09;19.57;0
realgam3;41.53;21.43;0
castorflex;335.72;16.78;0
erthink;20.30;3.41;0
buildkite;0;0;0
jbaron;28.00;3.63;0
m0l1ce;19.37;0.93;0
progrium;47.40;4.80;0
mjstealey;8.70;2.50;0
fedeisas;13.92;1.73;0
kimyoon-young;11.39;0.53;0
velopert;29.62;3.30;0
zgq354;22.03;1.77;0
greensock;0;0;0
P233;36.19;3.47;0
geany;0;0;0
Eilene;23.23;2.77;0
menwengit;85.00;11.20;0
dsc;3.54;1.21;0
microsoft;0;0;0
myxuchangbin;27.53;1.73;0
kendricktan;5.93;1.46;0
t9md;17.79;1.45;0
cbeust;70.13;5.49;0
XueshiQiao;11.64;0.58;0
CartoDB;0;0;0
h6ah4i;65.57;3.83;0
ArthurZC23;24.35;4.71;0
facebookresearch;0;0;0
css-modules;0;0;0
SSNikolaevich;27.00;2.27;0
TheSavior;174.02;5.18;0
amilajack;3.60;0.73;0
unicodeveloper;49.64;3.04;0
facultyai;0;0;0
pret;0;0;0
hyperstack-org;0;0;0
watson;12.93;1.47;0
teijo;12.31;1.62;0
dongxinb;18.61;1.57;0
vladikoff;8.64;2.71;0
HackerShackOfficial;0;0;0
stacklens;86.00;2.40;0
ghc-proposals;0;0;0
mariuszostrowski;512.00;23.00;0
hansenji;11.54;1.33;0
peterpaulis;24.63;2.33;0
spatialdev;0;0;0
kfei;33.87;2.35;0
edumentab;0;0;0
paularmstrong;401.00;6.62;0
godaddy-wordpress;0;0;0
hypeapps;52.33;4.04;0
Jeykit;8.35;1.29;0
tinalatif;51.75;5.88;0
SimonLarsen;12.46;2.06;0
PcapDotNet;0;0;0
LinusHenze;129.60;11.60;0
caelum;0;0;0
coderZsq;82.50;4.17;0
amcharts;70.67;8.54;0
mozilla;0;0;0
neovim;0;0;0
cubicdaiya;46.56;5.70;0
mapbox;0;0;0
ztellman;243.11;11.49;0
fregu856;25.04;2.91;0
go-playground;0;0;0
alexdrone;176.92;6.73;0
irace;9.67;1.64;0
bacher09;8.47;2.36;0
YenYuHsuan;19.00;0.50;0
zyxue;5.70;1.46;0
huandu;55.73;5.20;0
beego;0;0;0
nashwaan;57.38;1.85;0
KUR-creative;15.69;0.77;0
qiniu;0;0;0
spatie;0;0;0
ecomfe;0;0;0
rafaelfranca;43.64;7.28;0
MicroPyramid;0;0;0
KaimingHe;1427.00;97.67;0
adamwulf;45.87;3.14;0
benedekrozemberczki;268.17;14.66;0
neeru1207;69.00;2.73;0
thenativeweb;0;0;0
rockymadden;54.33;3.44;0
muan;61.59;7.66;0
zendeskgarden;0;0;0
nextcloud;0;0;0
mozmorris;118.20;5.23;0
souyunku;31.09;2.73;0
mitchtabian;35.64;4.02;0
google-research;0;0;0
chrisbra;231.82;6.87;0
powy1993;40.62;3.57;0
shiyanhui;386.00;19.60;0
xflr6;18.54;4.32;0
MicrosoftEdge;0;0;0
icepy;90.73;7.74;0
JustinDrake;39.18;4.92;0
fasiondog;22.71;3.76;0
Akryum;75.11;3.77;0
fcambus;386.17;22.26;0
uPhyca;0;0;0
xhzengAIB;307.03;18.73;0
objcio;0;0;0
spicyShrimp;69.04;3.17;0
socketry;0;0;0
KyoheiG3;88.66;4.64;0
tminglei;97.22;6.33;0
EnderTan;255.00;6.00;0
deepset-ai;0;0;0
nteract;0;0;0
sciactive;0;0;0
neutrinojs;0;0;0
jsoma;44.08;2.53;0
instagrambot;0;0;0
survivejs;0;0;0
LaiFeng-Android;0;0;0
cheggaaa;146.88;3.94;0
hefuyicoder;626.25;24.00;0
maticzav;167.17;4.29;0
mars;43.63;3.26;0
FormidableLabs;0;0;0
sorrycc;307.63;20.70;0
AlloyTeam;0;0;0
yck1509;279.00;35.80;0
TangoAgency;0;0;0
bitcoin;0;0;0
envoy;0;0;0
hades0918;198.00;10.50;0
Shellntel;103.88;12.25;0
bruce;6.80;2.18;0
HCIT-Computing-Intelligence;0;0;0
GammaGao;8.08;1.69;0
qqiang00;7.65;1.38;0
mcallegari;45.78;8.44;0
cheeaun;21.50;2.49;0
gocardless;0;0;0
jstorimer;38.71;3.73;0
mattdesl;111.71;4.52;0
hb-go;0;0;0
rsrbk;48.08;2.00;0
cknow;0;0;0
amachanic;396.00;78.00;0
DanielKeep;19.64;1.90;0
marconilanna;9.92;1.43;0
hemanta212;15.54;0.19;0
nolanlawson;57.24;2.63;0
lavie;6.06;1.09;0
skarnet;38.21;4.89;0
abdelhai;17.75;1.71;0
splunk;0;0;0
JamzyWang;9.54;1.66;0
DenisTome;42.73;4.36;0
tomwalker;36.36;6.27;0
FSecureLABS;0;0;0
amritb;20.30;1.30;0
CogComp;0;0;0
lincolnloop;0;0;0
summerblue;203.75;12.98;0
mongodb-labs;0;0;0
alexkehayias;16.34;1.56;0
deeptools;0;0;0
Danie1s;195.09;4.27;0
massgravel;0;0;0
aliostad;23.74;3.69;0
svrxjs;0;0;0
afollestad;862.00;30.34;0
framework7io;0;0;0
mafengwo;0;0;0
Making-It;29.05;0.74;0
Azure;0;0;0
Chatterino;0;0;0
prideout;35.81;3.19;0
toomore;9.15;3.01;0
karottc;12.67;1.98;0
udacity;0;0;0
ptigas;9.96;1.76;0
ericoc;23.16;3.63;0
doefler;55.44;4.44;0
HelenOS;0;0;0
bazelbuild;0;0;0
eclipse;0;0;0
vczero;84.48;6.85;0
XiaoMi;0;0;0
datawire;0;0;0
thoughtworks;0;0;0
miao1007;30.04;2.30;0
open-dingtalk;0;0;0
MscrmTools;10.02;4.00;0
jasp-stats;0;0;0
sky-map-team;0;0;0
scarsty;19.51;3.30;0
IvBaranov;75.88;4.13;0
jamesknelson;60.41;2.59;0
Goddchen;16.86;2.97;0
basicallydan;28.06;1.05;0
yuzushioh;9.27;0.48;0
airlift;0;0;0
ItalyPaleAle;7.51;0.65;0
eko;44.46;3.40;0
damianszczepanik;65.18;12.18;0
urbica;0;0;0
Elteoremadebeethoven;67.14;5.86;0
jverkoey;191.66;10.10;0
wlox;0;0;0
davidgohel;46.39;4.97;0
jirutka;7.58;1.10;0
pry;0;0;0
mikeizbicki;3.42;2.10;0
MysticRyuujin;35.92;2.83;0
thorntail;0;0;0
simongfxu;5.54;1.27;0
moos;13.59;1.37;0
auth0;0;0;0
yangyubo;36.57;6.00;0
RedisLabs;0;0;0
ollija;24.88;1.69;0
DarielChen;51.93;2.60;0
bakwc;16.64;3.55;0
multiwii;0;0;0
keydet89;74.00;14.14;0
songhan;39.47;5.06;0
philschatz;2.62;1.35;0
gboeing;79.54;8.12;0
lefex;74.80;5.68;0
hadley;45.19;5.14;0
mmatl;21.81;29.69;0
farbrausch;0;0;0
c9;0;0;0
scrapinghub;0;0;0
koute;135.98;4.54;0
lynndylanhurley;423.84;11.26;0
yansongda;186.43;8.78;0
wjakob;482.16;31.43;0
termux;0;0;0
rust-lang;0;0;0
technoweenie;16.51;1.66;0
node-webot;0;0;0
Fody;0;0;0
moquette-io;0;0;0
stone0090;120.83;12.33;0
fastai;0;0;0
ines;812.10;28.79;0
ruotianluo;43.84;2.16;0
kiteco;0;0;0
nwjs-community;0;0;0
littlstar;0;0;0
romannurik;537.44;25.54;0
mongrel2;0;0;0
Lauzy;158.78;3.78;0
WebReflection;12.39;1.25;0
oxford-cs-ml-2015;0;0;0
fr1zle;5.47;1.08;0
378056350;21.89;1.18;0
dkulagin;16.87;2.13;0
rmcantin;42.17;3.83;0
kentcdodds;120.11;3.40;0
KDE;0;0;0
meetDeveloper;11.71;0.83;0
serengil;57.50;5.31;0
SenparcCoreFramework;0;0;0
grissomlau;18.74;2.96;0
musictheory;0;0;0
wesabe;0;0;0
dylang;130.98;2.65;0
sparkfunX;0;0;0
rickey-g;84.67;10.00;0
tolitius;27.26;2.22;0
ibsh;42.55;4.64;0
robotframework;0;0;0
solivr;44.33;6.58;0
bluenote10;12.57;1.54;0
logux;0;0;0
apsdehal;55.33;4.27;0
KyleAMathews;172.27;3.46;0
jacobgil;190.17;6.29;0
nprapps;0;0;0
tholman;460.30;13.11;0
SheetJS;0;0;0
dalong982242260;0.50;1.01;0
cil-project;0;0;0
qrac;10.07;1.36;0
Badacadabra;11.68;2.26;0
yashk2810;26.08;2.54;0
photonlines;53.09;2.18;0
lipanski;19.79;1.89;0
sybrenstuvel;14.77;3.20;0
chrisjshull;6.71;1.87;0
jxom;12.51;1.73;0
dlang;0;0;0
thebracket;85.00;5.92;0
kaelig;5.31;4.69;0
Hitomis;265.43;7.10;0
chadpaulson;12.97;1.60;0
yll2wcf;20.54;3.25;0
agragregra;213.00;45.00;0
MatthewClarkMay;15.26;3.68;0
CraneStation;0;0;0
phodal;59.20;3.42;0
kiskolabs;0;0;0
alibaba;0;0;0
svartalf;25.10;2.75;0
EdernClemente;126.50;1.50;0
piotrmurach;130.30;3.89;0
Sorumi;20.86;3.38;0
TonyPhipps;38.40;4.90;0
stucki;6.03;2.06;0
CodingBingo;29.33;2.67;0
deepred5;8.10;1.04;0
dmitrystu;41.56;5.89;0
alibaba;0;0;0
yifei8;30.77;0.73;0
feicong;95.20;6.13;0
Astn;8.52;2.64;0
tinify;0;0;0
pyppeteer;0;0;0
i-am-tom;44.79;4.00;0
yueyoum;16.91;2.91;0
ethereum;0;0;0
clarkgrubb;31.73;1.68;0
eonist;24.04;1.00;0
syrusakbary;94.93;3.50;0
jcugat;23.36;2.45;0
baidut;10.75;1.90;0
mks0601;142.50;9.30;0
thunlp;0;0;0
zhunzhong07;58.05;3.00;0
smasherprog;14.30;3.02;0
MastodonC;0;0;0
zhhlwd;54.00;0.80;0
bencompton;798.10;40.00;0
lrannn;20.00;1.15;0
HotBitmapGG;117.97;5.56;0
molenzwiebel;13.29;3.00;0
santalu;221.80;6.20;0
ronomon;0;0;0
abhioncbr;23.11;6.53;0
intezer;0;0;0
AniDevTwitter;0;0;0
cloudwu;74.67;9.64;0
leonHua;181.57;5.71;0
Kreijstal;191.85;1.38;0
rollup;0;0;0
csurfer;119.27;4.69;0
Scrawk;102.27;8.65;0
bft-smart;0;0;0
tg123;35.16;4.50;0
shiffman;38.24;5.57;0
raisemarketplace;0;0;0
react-component;0;0;0
harryworld;4.14;1.72;0
paked;5.06;1.68;0
abntex;0;0;0
AdiChat;195.27;7.61;0
semisleep;35.50;2.63;0
Surzhikov;35.33;6.67;0
awestruct;0;0;0
michaelbromley;64.46;9.78;0
OAID;0;0;0
lionheart;0;0;0
wlanjie;20.04;2.44;0
wangjohn;11.03;1.82;0
JunSuzukiJapan;6.64;1.17;0
tau-prolog;0;0;0
alibaba;0;0;0
onmyway133;129.67;4.38;0
r-lib;0;0;0
TruthHun;3.32;0.85;0
rambler-digital-solutions;0;0;0
toscale;0;0;0
fix-macosx;0;0;0
kalasjocke;46.04;2.54;0
stevefaulkner;6.37;2.57;0
bbalet;13.00;3.52;0
KyleU;18.23;2.43;0
xueduany;29.15;3.96;0
skeeto;41.76;3.51;0
mathetake;124.58;3.74;0
bntzio;0.48;0.96;0
liufengting;53.57;3.89;0
mbbill;21.53;1.88;0
hackademix;272.00;15.00;0
tmux-plugins;0;0;0
overleaf;0;0;0
MicrosoftDocs;0;0;0
spring-guides;0;0;0
chrfalch;19.73;4.23;0
lispyclouds;16.76;4.03;0
zefhemel;28.14;3.86;0
juhakivekas;333.91;18.96;0
tcnksm;24.71;1.95;0
jkeyes;5.46;1.46;0
scala-labs;0;0;0
googlearchive;0;0;0
coderwhy;299.12;7.82;0
k0204;16.29;2.59;0
robertmeta;11.14;1.80;0
francoislaberge;13.49;3.07;0
benjamminf;34.46;2.23;0
Enigmatis;0;0;0
shijinkui;7.10;1.08;0
nepluno;59.82;7.36;0
rust-lang;0;0;0
pmsipilot;0;0;0
eventuate-examples;0;0;0
danoctavian;9.46;1.99;0
baigoStudio;0;0;0
tencentyun;0;0;0
fastlane-community;0;0;0
component;0;0;0
lavr;8.32;1.32;0
wuyuanlijie;10.00;0.54;0
mmBs;6.71;1.39;0
deepmind;0;0;0
tailhook;5.64;1.25;0
spencercarli;27.88;2.39;0
srtucker22;26.61;2.54;0
brodybits;0.18;0.60;0
Bwar;29.70;3.15;0
shiltemann;7.12;4.35;0
Atalanta;5.79;1.82;0
rayshobby;39.50;15.00;0
houjingyi233;25.43;3.05;0
torchhound;4.50;2.03;0
jpush;0;0;0
zhaojh329;102.56;5.56;0
dvajs;0;0;0
jsfaint;17.78;1.61;0
ewhitehats;147.50;8.00;0
DigitalMars;0;0;0
aria42;31.59;3.23;0
NotMedic;14.03;1.68;0
feross;252.76;12.05;0
express-promise-router;0;0;0
Wizehive;0;0;0
DarqueWarrior;22.41;2.70;0
davidscotttufts;136.00;16.50;0
NathanaelA;10.24;2.08;0
nucypher;0;0;0
segmentio;0;0;0
patsplat;11.38;1.08;0
TeehanLax;0;0;0
DimiMikadze;145.24;8.94;0
joshbuddy;10.02;1.65;0
codrops;0;0;0
broadgsa;207.00;51.00;0
ReactiveX;0;0;0
leeguandong;51.63;2.13;0
stefanprodan;75.68;5.44;0
WallarooLabs;0;0;0
pond3r;692.50;37.50;0
alexkuz;173.68;4.74;0
kylef;243.92;7.32;0
praeclarum;84.05;7.54;0
tinghuiz;1132.74;40.47;0
FormidableLabs;0;0;0
fuzzdb-project;0;0;0
mzucker;201.10;6.66;0
yacy;0;0;0
jx-sec;90.63;7.63;0
ypresto;9.80;1.24;0
php-casbin;0;0;0
DanWahlin;95.54;11.00;0
mrniko;3099.17;225.33;0
kylef;243.92;7.32;0
InderKumarRathore;52.85;3.20;0
sitewhere;0;0;0
igrigorik;333.88;20.24;0
nkholski;50.17;4.33;0
sherifabdlnaby;22.44;2.15;0
FauxFaux;0.02;1.18;0
gsjqwyl;66.40;3.60;0
nofelmahmood;37.95;3.40;0
firmai;155.31;10.47;0
codrops;0;0;0
yoda-pa;0;0;0
pathak22;215.55;11.75;0
yacy;0;0;0
heapwolf;27.59;2.36;0
pointfreeco;0;0;0
chenhaoxiang;18.91;2.14;0
stefanceriu;208.64;9.64;0
justindujardin;115.35;5.26;0
filipedeschamps;193.77;13.00;0
sgrvinod;125.11;5.93;0
powmedia;87.17;4.80;0
hulab;0;0;0
Janusec;0;0;0
nvie;151.22;6.16;0
henrygd;27.16;1.80;0
thread-pond;0;0;0
evilsocket;272.81;14.55;0
IoT-Technology;0;0;0
sass;0;0;0
mahmoudparsian;193.22;23.89;0
terenceLuffy;220.33;12.00;0
michaeljbishop;105.00;3.59;0
newsdev;0;0;0
fperucic;110.17;6.17;0
trizen;33.92;2.85;0
mirrorer;0;0;0
r-lib;0;0;0
gradle;0;0;0
hub4j;0;0;0
spatie;0;0;0
InflationX;0;0;0
AurelioDeRosa;92.50;6.31;0
amancevice;9.46;1.15;0
cohomolo-gy;0;0;0
learning-rust;0;0;0
Upload;0;0;0
kattrali;345.00;15.48;0
tessel;0;0;0
Kaixhin;98.87;6.00;0
marianoguerra;3.67;1.55;0
auth0;0;0;0
sindresorhus;189.87;3.63;0
PanJiaChen;991.31;38.21;0
purcell;4.19;1.96;0
mikeMTOL;32.24;1.81;0
lloydmeta;8.86;1.11;0
ArduPilot;0;0;0
CanonicalLtd;0;0;0
Smoothieware;0;0;0
svaksha;0.40;0.87;0
ntpeters;25.33;1.96;0
commonsense;0;0;0
xiph;0;0;0
Dillion;92.19;7.38;0
kriasoft;0;0;0
xiaozhuxiong121;99.00;2.71;0
InterestingLab;0;0;0
Tencent;0;0;0
lampo1024;10.88;1.53;0
khanlou;84.63;4.44;0
glenjamin;0.58;0.45;0
lavyun;46.61;3.00;0
react-native-community;0;0;0
amazeui;0;0;0
hugoduncan;15.67;1.53;0
brentvollebregt;45.35;3.78;0
berinhard;36.12;3.53;0
hodgef;51.03;1.71;0
japila-books;0;0;0
meilix;0;0;0
pindexis;149.27;3.20;0
diwu;161.61;10.56;0
metaparticle-io;0;0;0
vercel;0;0;0
yinqiwen;61.47;8.29;0
aker-gateway;0;0;0
Oyvindkg;57.11;5.33;0
wpsteak;4.97;1.13;0
lexrus;774.35;22.94;0
NVIDIA;0;0;0
smashtestio;166.00;7.00;0
microsoft;0;0;0
nickjj;106.76;5.52;0
webpack-contrib;0;0;0
TakeoffAndroid;52.83;3.90;0
jekyll;0;0;0
systemd;0;0;0
parroty;48.54;2.49;0
Vonng;285.43;17.48;0
eoscanada;0;0;0
percolatestudio;0;0;0
ankur-a0d;23.44;2.47;0
ystael;29.06;2.59;0
daattali;70.45;5.29;0
0ximDigital;22.65;2.27;0
vulkan-go;0;0;0
ElegantLaTeX;0;0;0
sensu;0;0;0
udacity;0;0;0
nccgroup;0;0;0
observablehq;0;0;0
mgrankin;104.13;5.38;0
buftas;6.67;0.43;0
zarkin404;499.00;14.00;0
zeisler;10.68;1.04;0
liufan321;101.04;6.29;0
jisaacso;17.89;1.68;0
d3;0;0;0
SimpleMobileTools;0;0;0
layerware;0;0;0
Doragd;35.76;1.18;0
shibingli;0.03;0.79;0
whitecatboard;0;0;0
kylehickinson;517.33;24.13;0
pixijs;0;0;0
krimpedance;44.00;2.11;0
psequel;493.00;15.00;0
deliveredtechnologies;0;0;0
xianyucoder;21.00;0.96;0
CHEF-KOCH;31.62;3.27;0
sienori;41.67;2.83;0
CharlesMangwa;83.69;2.79;0
ryyppy;28.05;1.49;0
AcademySoftwareFoundation;0;0;0
Louis-me;24.53;4.23;0
meetmore;0;0;0
Coalfire-Research;0;0;0
microsoft;0;0;0
54sword;24.52;2.21;0
vinc3m1;1323.72;107.66;0
jcjohnson;841.64;36.64;0
sromku;191.00;17.29;0
ZinggJM;22.75;2.88;0
twang281314;5.82;1.57;0
justinyhuang;158.55;11.36;0
brutusin;0;0;0
Raynos;18.14;1.66;0
emilwallner;896.56;38.56;0
gulyasm;11.60;1.38;0
shadowsocks;0;0;0
blender;0;0;0
feross;252.76;12.05;0
hapijs;0;0;0
