login do usuario avaliado;Quantidade de reações nas issues;Popularidade do repositório;Média de watchers
javascript-tutorial;0;0;0
facebookresearch;0;0;0
openvswitch;0;0;0
cocktails-for-programmers;0;0;0
epicmaxco;0;0;0
swannodette;28.22;2.95;0
mingrammer;53.41;1.60;0
nitin42;104.03;2.28;0
sorbet;0;0;0
mzgoddard;25.25;1.72;0
MikeOrtiz;447.20;25.00;0
manrajgrover;25.36;1.25;0
inossidabile;41.80;3.22;0
facebookarchive;0;0;0
A-gambit;145.43;7.90;0
dwyl;0;0;0
luocheng;49.00;5.57;0
jcoglan;34.46;3.36;0
CoinCheung;30.59;0.66;0
axibase;0;0;0
hashrocket;0;0;0
spagnuolocarmine;14.44;4.44;0
ReactVT;0;0;0
HIPS;0;0;0
MyScript;0;0;0
phoenixwong;53.00;2.57;0
jimmynicol;18.79;2.05;0
antonkrasov;81.71;6.41;0
cwilso;83.93;11.43;0
pablobarbera;44.19;7.25;0
grow;0;0;0
albeebe;41.50;5.70;0
tejacques;373.35;9.72;0
vibertthio;8.64;1.49;0
GothicAi;37.70;1.60;0
SaikrishnaReddy1919;6.44;0.79;0
ryansmcgee;69.60;5.60;0
sathishmscict;0.00;0.15;0
jverkoey;191.66;10.10;0
urlgrey;7.98;2.53;0
KrisSiegel;30.82;2.00;0
nkbt;237.05;5.76;0
HHuiHao;124.25;6.50;0
ljqloveyou123;268.00;7.67;0
NationalSecurityAgency;0;0;0
kitten;151.84;5.49;0
pecigonzalo;0.27;0.63;0
laravel-notification-channels;0;0;0
DominicMaas;52.00;8.29;0
zhaozhentao;60.42;3.42;0
kbrw;0;0;0
bbecquet;21.69;2.49;0
jirutka;7.58;1.10;0
vanhoefm;89.89;11.02;0
hurley25;37.65;5.49;0
francoislg;6.70;2.53;0
akanazawa;107.19;7.48;0
ugik;11.73;2.42;0
snwfdhmp;4.80;0.79;0
kevinzakka;207.18;14.24;0
Samsung;0;0;0
chris-belcher;61.67;7.75;0
aydinnyunus;16.61;2.00;0
mercadolibre;0;0;0
dandv;0.11;0.16;0
codrops;0;0;0
delight-im;0;0;0
bitpay;0;0;0
coderholic;55.16;4.20;0
sdaschner;8.44;2.34;0
rshevchuk;260.00;9.50;0
JuliaImages;0;0;0
crazy-max;28.05;2.43;0
nervetattoo;17.18;1.76;0
pfalcon;50.38;7.17;0
mojeda;27.50;4.86;0
haifenghuang;4.31;1.13;0
chinchang;190.88;6.86;0
Erudika;0;0;0
Ch00k;5.54;1.29;0
gliderlabs;0;0;0
iipc;0;0;0
christianmalek;11.85;1.70;0
taisei-project;0;0;0
gilyes;45.78;3.33;0
widdix;0;0;0
avelino;617.68;31.30;0
hyeonseobnam;162.80;13.40;0
superjamie;44.13;10.07;0
vstinner;79.56;8.27;0
dfm;3.15;1.57;0
Coding;0;0;0
Kiarash-Z;29.43;1.14;0
Nightbringer21;339.00;22.00;0
MLSDev;0;0;0
datacleaner;0;0;0
LeonidasEsteban;23.24;2.19;0
grand-stack;0;0;0
rprichard;323.87;28.35;0
influxdata;0;0;0
jkup;43.09;2.53;0
morninj;9.34;1.34;0
martincarrera;21.68;3.92;0
dzt;14.14;4.53;0
googlefonts;0;0;0
prerender;0;0;0
pownjs;0;0;0
gimli-rs;0;0;0
cviebrock;55.64;3.01;0
saprykin;39.00;4.89;0
meteor;0;0;0
leetenki;14.41;2.07;0
Countly;0;0;0
lennylxx;426.45;37.64;0
Swiftam;13.86;3.10;0
ScrumDoLLC;0;0;0
DLTech21;3.44;1.02;0
felixhageloh;83.05;4.16;0
yangchong211;272.78;8.08;0
jreznot;6.42;0.66;0
rachelandrew;205.59;17.41;0
thatbrguy;24.53;1.47;0
SummerRC;9.63;1.67;0
minetsh;32.00;1.51;0
keepassium;141.50;13.00;0
larstvei;24.35;2.28;0
pointhi;7.53;1.70;0
kataras;340.22;14.21;0
RaveJS;0;0;0
jbutko;44.82;3.29;0
1000hz;84.81;4.88;0
barak;2.40;2.12;0
arnetheduck;19.11;3.00;0
bootphon;0;0;0
interpretml;0;0;0
asticode;62.60;4.14;0
jbogard;224.84;22.26;0
nfarina;107.04;9.96;0
mimblewimble;0;0;0
kelseyhightower;519.47;11.40;0
DuinoDu;6.40;1.35;0
huangjianke;176.52;3.86;0
DroneBridge;0;0;0
deepgully;25.75;5.58;0
dxxzst;11.76;1.97;0
openshift;0;0;0
reasonml;0;0;0
DavBfr;8.84;1.42;0
Esri;0;0;0
pkainulainen;103.30;15.70;0
dathlin;67.13;8.65;0
recruit-lifestyle;0;0;0
Aevit;7.63;1.72;0
bramstein;93.16;6.06;0
nrwl;0;0;0
Crab2died;16.47;1.37;0
paultuckey;36.78;4.22;0
python-excel;0;0;0
tomighty;0;0;0
mkorpela;19.19;3.26;0
trentm;68.26;2.21;0
GameTechDev;0;0;0
Geek-1001;1440.00;34.86;0
timurnurutdinov;13.52;2.00;0
GameBuildingBlocks;0;0;0
dado3212;8.22;2.45;0
schneems;0.86;0.13;0
benji6;9.35;0.79;0
stormdzh;2.84;0.83;0
michalzaq12;12.48;1.65;0
wavebitscientific;0;0;0
kotojs;0;0;0
bb-coder;7.66;1.19;0
googlearchive;0;0;0
adjust;0;0;0
timd;7.14;0.82;0
jhiesey;35.43;4.26;0
bradymholt;23.61;2.51;0
hahnyuan;9.47;1.48;0
eggjs;0;0;0
MatthewZMD;66.55;4.38;0
murari023;0.50;0.91;0
afischer;15.44;2.93;0
maxlicheng;67.86;2.55;0
JJMM;47.78;4.33;0
nnja;14.41;1.33;0
benedekrozemberczki;268.15;14.66;0
tchellomello;5.27;1.87;0
haskell;0;0;0
newhavenrb;0;0;0
survivejs-demos;0;0;0
